"id","classe","dur","aci","csh","th","h","rugo","mean","sd","sem","median","mode","q25","q75","iqr","cent","skew","kurt","sfm","sh","prec","time.P1","time.M","time.P2","time.IPR","freq.P1","freq.M","freq.P2","freq.IPR","start.DOM","end.DOM","mean.Peakf","mean.Fun","min.Fun","max.Fun","M","NDSI","ZCR","SNR"
"53-9","amostraB",1.29823129251701,163.764584181602,0.634519474495005,0.953776378475252,0.628717612188659,0.00357264351412213,4282.81844995778,1228.89809563747,3962.109375,76.8061309773417,3273.046875,3273.046875,4737.3046875,1464.2578125,4282.81844995778,4.26640114405035,23.4166232027554,0.000315222009768558,0.6591876527638,86.1328125,0.0826147186147186,0.460282003710575,1.25102288188002,1.16840816326531,2.928515625,3.8759765625,6.9767578125,4.0482421875,3.3591796875,3.0146484375,5.8053515625,3.61037027935289,0.588,4.00909090909091,1.19424222969255e-07,0.999973657174256,0.185355970097115,0.504665037188897
"53-10","amostraB",1.29823129251701,196.799392433634,0.62700001357505,0.953631065397422,0.63324043464662,0.00454275886586968,4208.13173347727,1190.97101557442,3789.84375,74.4356884734011,3100.78125,3273.046875,4737.3046875,1464.2578125,4208.13173347727,3.74871923918071,18.0335144722894,0.00027072855166477,0.664030837106506,86.1328125,0.0354063079777365,0.401271490414348,1.25102288188002,1.21561657390229,2.928515625,3.7037109375,6.8044921875,3.8759765625,3.0146484375,4.5650390625,5.71789362980769,3.48300718326672,1.52068965517241,4.9,1.41720729718155e-07,0.999985292984722,0.182683574372948,0.319542720169634
"54-1","amostraB",1.35721088435374,192.799557973532,0.584188798513393,0.943096909887548,0.608809534126826,0.0137577382951405,4042.20768795008,1031.34599996542,3703.7109375,64.4591249978386,3014.6484375,3186.9140625,4651.171875,1464.2578125,4042.20768795008,3.79463937078118,19.3664395457522,0.000333037929183071,0.645542921139906,86.1328125,0.0472073351079562,0.448469683525584,1.20378704525288,1.15657971014493,2.8423828125,3.617578125,6.029296875,3.1869140625,4.7373046875,5.2541015625,5.3230078125,3.92759593113066,1.52068965517241,5.5125,2.97336026248637e-07,0.999976966413299,0.183817018361653,0.557672288153228
"54-2","amostraB",1.35721088435374,199.963639262286,0.59745763633989,0.942328771505718,0.625595376857089,0.0144134508322464,4169.41012251206,1073.22278039402,3875.9765625,67.0764237746263,3100.78125,3273.046875,4909.5703125,1636.5234375,4169.41012251206,3.31058033543525,14.4789125995033,0.000350231463404515,0.663882283735718,86.1328125,0.0708110026619344,0.448469683525584,1.16838154392192,1.09757054125998,2.928515625,3.78984375,6.1154296875,3.1869140625,4.7373046875,4.8234375,5.340234375,3.63359353034193,1.47,5.5125,3.07043746818474e-07,0.999981325279233,0.183048468748434,0.578666948012576
"54-3","amostraB",1.35721088435374,187.755437500665,0.592488136367926,0.93753470914708,0.608303800443741,0.01439448698703,4107.70537729451,974.709902799782,3875.9765625,60.9193689249864,3617.578125,3445.3125,4651.171875,1205.859375,4107.70537729451,3.18184050830112,12.6976171762305,0.000337208584464761,0.64883336532377,86.1328125,0.118018337769891,0.507478852410529,1.18018337769891,1.06216503992902,2.928515625,3.78984375,5.85703125,2.928515625,3.0146484375,3.3591796875,5.6330859375,4.20895391053959,2.59411764705882,14.7,2.58360940885034e-07,0.99997854251909,0.176298598232336,0.479580737664395
"54-4","amostraB",1.35721088435374,198.55291797776,0.604313576116369,0.943158405529212,0.627432594648891,0.0115089491522323,4204.89847145458,1046.0662050492,3962.109375,65.3791378155751,3014.6484375,3359.1796875,4823.4375,1464.2578125,4204.89847145458,2.83065714255049,10.1938430398254,0.000343241225946364,0.665246252348072,86.1328125,0.118018337769891,0.49567701863354,1.18018337769891,1.06216503992902,2.928515625,3.8759765625,6.2015625,3.273046875,3.5314453125,5.16796875,5.376123046875,3.65111537185692,0.195132743362832,5.5125,2.42847583857573e-07,0.999979609904171,0.191084824486659,1.79669174337651
"55-1","amostraB",1.83224489795918,195.569734413014,0.592270784275464,0.919537334827179,0.595883532649511,0.0355881028186424,4153.76054060963,914.379613901846,3962.109375,57.1487258688654,3617.578125,3445.3125,4737.3046875,1291.9921875,4153.76054060963,2.89980497340731,10.4452695092959,0.000320367967379853,0.648025381983542,86.1328125,0.399335426478284,1.22149659863946,1.66781266352695,1.26847723704867,2.928515625,3.8759765625,5.5986328125,2.6701171875,3.3591796875,3.0146484375,5.271328125,4.38880885334334,0.588,14.7,3.90628240915013e-07,0.99998405658313,0.184401376203559,0.341808097246675
"55-2","amostraB",1.83224489795918,204.556476471705,0.572895105314129,0.931570966900791,0.618774090094128,0.0343464344517338,4260.38506964854,1034.95227497454,3962.109375,64.6845171859085,3789.84375,3445.3125,4909.5703125,1464.2578125,4260.38506964854,2.83669354491604,10.2216598330504,0.000380112055893277,0.664226464842184,86.1328125,0.352354788069074,1.20975143903715,1.70304814233386,1.35069335426478,2.928515625,3.8759765625,6.4599609375,3.5314453125,7.062890625,3.0146484375,5.22097355769231,3.75363780628112,0.938297872340426,7.35,5.14686224482519e-07,0.99998272052916,0.212618499542091,0.402819493393987
"55-3","amostraB",1.83224489795918,223.279378863042,0.580019414813786,0.930572144057071,0.600396554858217,0.0340855517827222,4128.44187092297,900.537886632324,3875.9765625,56.2836179145203,3617.578125,3445.3125,4737.3046875,1291.9921875,4128.44187092297,2.97155840790983,11.160202968346,0.000337873143279154,0.645190766446793,86.1328125,0.270138670852957,0.963103087388802,1.65606750392465,1.38592883307169,2.928515625,3.78984375,5.5125,2.583984375,3.0146484375,3.0146484375,5.537109375,4.26898714520773,1.764,14.7,5.10915925282567e-07,0.999979625670808,0.176171381896488,0.439815392291386
"55-4","amostraB",1.83222222222222,191.739841360582,0.599147136849856,0.927728297103285,0.610598997725699,0.0265951734732052,4154.81665489031,1095.91098175319,3789.84375,68.4944363595743,3186.9140625,3359.1796875,4737.3046875,1378.125,4154.81665489031,3.22970571589558,13.2503834751826,0.000366706547472494,0.658165757832565,86.1328125,0.434565527065527,1.25671652421652,1.72651709401709,1.29195156695157,2.928515625,3.7037109375,6.4599609375,3.5314453125,4.651171875,3.0146484375,5.4263671875,3.80451098006118,1.52068965517241,5.5125,4.0940543430972e-07,0.999979977437177,0.183760101978936,0.404728789986095
"55-5","amostraB",1.83224489795918,203.846706258647,0.59154701634386,0.937123323230549,0.636771261997787,0.0344884479138778,4479.69676106243,1313.62354625129,4134.375,82.1014716407058,3617.578125,3531.4453125,4995.703125,1464.2578125,4479.69676106243,2.68019513668973,9.587827725926,0.000473222126419139,0.679495693056323,86.1328125,0.258393511250654,1.17451596023025,1.71479330193616,1.4563997906855,2.928515625,4.0482421875,7.6658203125,4.7373046875,7.92421875,3.0146484375,5.09508713942308,3.84744290969951,0.588,8.82,5.71389695650295e-07,0.999982718953749,0.218101037103042,0.475332310838443
"55-6","amostraB",1.83224489795918,194.506831292941,0.606921755870724,0.922883890176607,0.619251938992255,0.0289317716344603,4252.59327115814,1091.99392239511,3962.109375,68.2496201496941,3617.578125,3445.3125,4909.5703125,1464.2578125,4252.59327115814,2.87572250200843,10.5474399223682,0.000372500116759705,0.670996585359999,86.1328125,0.281883830455259,1.23324175824176,1.72653846153846,1.4446546310832,2.928515625,3.8759765625,6.4599609375,3.5314453125,4.651171875,3.0146484375,5.53546875,3.89075382562314,0.595945945945946,6.3,3.95173555293918e-07,0.999979145044505,0.19739610405683,0.326781609195401
"55-7","amostraB",1.83222222222222,199.455869980912,0.589477240479409,0.928103976073829,0.602196687323781,0.0298229586260955,4167.61722810791,921.731958395136,3962.109375,57.608247399696,3617.578125,3531.4453125,4737.3046875,1205.859375,4167.61722810791,3.10958417547654,12.4557476951543,0.000343807926172157,0.648846145311501,86.1328125,0.258390313390313,1.22148148148148,1.70302706552707,1.44463675213675,2.928515625,3.8759765625,5.684765625,2.75625,3.0146484375,3.0146484375,5.5001953125,3.87644305517256,0.572727272727273,6.3,4.09874285313266e-07,0.999974125035805,0.181136372074603,0.380724538619275
"55-8","amostraB",1.83222222222222,193.840023362881,0.591531312825843,0.928674071982148,0.608862997882153,0.0308389252371862,4200.53719977827,947.140078985412,3962.109375,59.1962549365883,3789.84375,3531.4453125,4737.3046875,1205.859375,4200.53719977827,2.96637615324108,11.3805557567196,0.000343418105763359,0.65562614080805,86.1328125,0.258390313390313,1.20973646723647,1.71477207977208,1.45638176638177,2.928515625,3.8759765625,5.85703125,2.928515625,3.3591796875,3.10078125,5.37998798076923,4.19278030811481,0.588,6.3,4.21663209692403e-07,0.999978082692832,0.185195727775646,0.469384786048128
"55-9","amostraB",1.83224489795918,209.039096156537,0.606967533650905,0.919972824812528,0.607206821859622,0.0242672595035476,4151.994083932,1010.00012123876,3875.9765625,63.1250075774227,3617.578125,3359.1796875,4737.3046875,1378.125,4151.994083932,2.94431375694876,10.7487540652402,0.00033811630972336,0.660026911102901,86.1328125,0.364099947671376,1.25673207744636,1.72653846153846,1.36243851386709,2.928515625,3.78984375,6.1154296875,3.1869140625,4.7373046875,3.1869140625,5.416796875,3.75270557050024,0.290131578947368,6.3,2.97521848052142e-07,0.999987447402991,0.184723150417069,0.353201252700514
"55-10","amostraB",1.83222222222222,213.853991181928,0.610227118083018,0.921483188543663,0.608776764896752,0.0231929138712544,4181.61123369821,1016.91161499544,3875.9765625,63.5569759372151,3186.9140625,3445.3125,4737.3046875,1291.9921875,4181.61123369821,3.01758056641666,11.5408182358535,0.000353390755142894,0.660648802349698,86.1328125,0.30537037037037,1.25671652421652,1.72651709401709,1.42114672364672,2.928515625,3.78984375,6.2015625,3.273046875,4.651171875,3.10078125,5.478046875,4.12641614774678,0.98,14.7,2.98633542787279e-07,0.999980723001988,0.186755114416901,0.340077950078775
"55-11","amostraB",1.83224489795918,202.559360219043,0.596433351182886,0.926180222113912,0.609927443359434,0.0302461979791209,4223.58868992067,997.085523982591,3962.109375,62.317845248912,3617.578125,3445.3125,4823.4375,1378.125,4223.58868992067,2.8765060130908,10.5583513902201,0.000325144991977092,0.658540777266154,86.1328125,0.328864468864469,1.20975143903715,1.71479330193616,1.38592883307169,2.928515625,3.8759765625,6.029296875,3.10078125,3.10078125,3.0146484375,5.45170036764706,4.13942687950205,1.07560975609756,6.3,3.89730061344586e-07,0.999988089853847,0.187062201430658,0.407119098619015
"55-12","amostraB",1.83222222222222,211.318656080213,0.582276794338262,0.931808796647816,0.601943293652313,0.0287265879617119,4103.01261528096,929.739308995304,3875.9765625,58.1087068122065,3617.578125,3445.3125,4737.3046875,1291.9921875,4103.01261528096,3.03545998104545,11.5232300309379,0.00031742965091964,0.645994431280113,86.1328125,0.258390313390313,0.963091168091168,1.65604700854701,1.3976566951567,2.928515625,3.78984375,5.5986328125,2.6701171875,3.1869140625,2.928515625,5.5248046875,4.00494921125753,1.52068965517241,5.5125,4.38519471795518e-07,0.999982131963515,0.177473051076101,0.489510747336223
"55-13","amostraB",1.83224489795918,206.223841834104,0.592658204322741,0.931960447153821,0.605279035708117,0.0271311640050669,4171.92795514637,926.424025447775,3962.109375,57.901501590486,3617.578125,3445.3125,4737.3046875,1291.9921875,4171.92795514637,2.88664172327364,10.3115986457204,0.000331605300693779,0.649468588024976,86.1328125,0.234903192046049,1.18626111983255,1.71479330193616,1.47989010989011,2.928515625,3.8759765625,5.7708984375,2.8423828125,3.1869140625,3.0146484375,5.32587890625,3.96042837523827,0.572727272727273,6.3,4.27136134622247e-07,0.999982386863317,0.182309843815747,0.41220987136466
"55-14","amostraB",1.83224489795918,175.604843472841,0.557783678499598,0.953572511503534,0.646628633959399,0.0331658689796517,4663.08663894126,1389.70851011878,4220.5078125,86.8567818824239,3617.578125,3617.578125,5254.1015625,1636.5234375,4663.08663894126,2.64883248132275,9.47933955831581,0.000453179978774534,0.678111655022265,86.1328125,0.140941915227629,1.18626111983255,1.71479330193616,1.57385138670853,3.0146484375,4.134375,7.23515625,4.2205078125,7.23515625,3.1869140625,5.69259588068182,3.8013623975207,0.9,7.35,8.33354109474658e-07,0.999982140399946,0.246837949555704,1.23065455649724
"56-1","amostraB",0.834489795918367,213.017217590649,0.574362482993585,0.945702967946252,0.622663410349673,0.0568237983481331,4236.2540627226,1257.03218738185,3703.7109375,78.5645117113655,3273.046875,3359.1796875,4823.4375,1464.2578125,4236.2540627226,4.16415096839663,21.5344436024789,0.000380501603431384,0.658413298312776,86.1328125,0.0953702623906705,0.572221574344023,0.786804664723032,0.691434402332361,2.928515625,3.617578125,6.8044921875,3.8759765625,3.4453125,3.617578125,5.225390625,4.74686153846154,0.7875,14.7,1.66747207261307e-06,0.999972597408293,0.190483954240374,0.740858129523631
